"filename", "language", "C#", "Log", "ShaderLab", "HLSL", "JSON", "Markdown", "YAML", "JSON with Comments", "XML", "HTML", "Ini", "comment", "blank", "total"
"d:\UnityProjects\Agent Arena\Assets\BioIK\Setup\Objectives\JointValue.cs", "C#", 105, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 20, 131
"d:\UnityProjects\Agent Arena\Assets\BioIK\Setup\Objectives\LookAt.cs", "C#", 105, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 17, 123
"d:\UnityProjects\Agent Arena\Assets\BioIK\Setup\Objectives\Orientation.cs", "C#", 88, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 17, 106
"d:\UnityProjects\Agent Arena\Assets\BioIK\Setup\Objectives\Position.cs", "C#", 63, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 17, 19, 99
"d:\UnityProjects\Agent Arena\Assets\BioIK\Setup\Objectives\Projection.cs", "C#", 156, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 35, 40, 231
"d:\UnityProjects\Agent Arena\Assets\Controls.cs", "C#", 613, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 14, 632
"d:\UnityProjects\Agent Arena\Assets\CursorsAndCrosshairs\CursorChanger.cs", "C#", 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 4, 14
"d:\UnityProjects\Agent Arena\Assets\GrenadeScript.cs", "C#", 62, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 23, 87
"d:\UnityProjects\Agent Arena\Assets\HandTargets.cs", "C#", 31, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 5, 38
"d:\UnityProjects\Agent Arena\Assets\HealthBarFill.cs", "C#", 27, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 6, 35
"d:\UnityProjects\Agent Arena\Assets\JMO Assets\Cartoon FX Easy Editor\Editor\CFXEasyEditor.cs", "C#", 1259, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 115, 222, 1596
"d:\UnityProjects\Agent Arena\Assets\JMO Assets\WarFX\Demo\Assets\CFX_AutoStopLoopedEffect.cs", "C#", 30, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 6, 39
"d:\UnityProjects\Agent Arena\Assets\JMO Assets\WarFX\Demo\Assets\CFX_Demo_RandomDir.cs", "C#", 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 15
"d:\UnityProjects\Agent Arena\Assets\JMO Assets\WarFX\Demo\Assets\CFX_Demo_RotateCamera.cs", "C#", 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 17
"d:\UnityProjects\Agent Arena\Assets\JMO Assets\WarFX\Demo\Assets\CFX_Demo_Translate.cs", "C#", 20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 5, 26
"d:\UnityProjects\Agent Arena\Assets\JMO Assets\WarFX\Demo\Assets\WFX_Demo.cs", "C#", 268, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 21, 58, 347
"d:\UnityProjects\Agent Arena\Assets\JMO Assets\WarFX\Demo\Assets\WFX_Demo_DeleteAfterDelay.cs", "C#", 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 15
"d:\UnityProjects\Agent Arena\Assets\JMO Assets\WarFX\Demo\Assets\WFX_Demo_New.cs", "C#", 312, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 18, 55, 385
"d:\UnityProjects\Agent Arena\Assets\JMO Assets\WarFX\Demo\Assets\WFX_Demo_RandomDir.cs", "C#", 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 14
"d:\UnityProjects\Agent Arena\Assets\JMO Assets\WarFX\Demo\Assets\WFX_Demo_Wall.cs", "C#", 18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 4, 27
"d:\UnityProjects\Agent Arena\Assets\JMO Assets\WarFX\Editor\CFX_SpawnSystemEditor.cs", "C#", 163, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 26, 194
"d:\UnityProjects\Agent Arena\Assets\JMO Assets\WarFX\Scripts\CFX_AutoDestructShuriken.cs", "C#", 32, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 36
"d:\UnityProjects\Agent Arena\Assets\JMO Assets\WarFX\Scripts\CFX_LightIntensityFade.cs", "C#", 45, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 14, 66
"d:\UnityProjects\Agent Arena\Assets\JMO Assets\WarFX\Scripts\WFX_BulletHoleDecal.cs", "C#", 55, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 11, 78
"d:\UnityProjects\Agent Arena\Assets\JMO Assets\WarFX\Scripts\WFX_LightFlicker.cs", "C#", 27, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 7, 39
"d:\UnityProjects\Agent Arena\Assets\JMO Assets\WarFX\Shaders\WFX_S Add Scroll.shader", "ShaderLab", 0, 0, 98, 0, 0, 0, 0, 0, 0, 0, 0, 5, 16, 119
"d:\UnityProjects\Agent Arena\Assets\JMO Assets\WarFX\Shaders\WFX_S Alpha-Diffuse TintColor.shader", "ShaderLab", 0, 0, 31, 0, 0, 0, 0, 0, 0, 0, 0, 2, 8, 41
"d:\UnityProjects\Agent Arena\Assets\JMO Assets\WarFX\Shaders\WFX_S Alpha-Specular TintColor.shader", "ShaderLab", 0, 0, 36, 0, 0, 0, 0, 0, 0, 0, 0, 2, 8, 46
"d:\UnityProjects\Agent Arena\Assets\JMO Assets\WarFX\Shaders\WFX_S AlphaBlend NoSoftParticles.shader", "ShaderLab", 0, 0, 60, 0, 0, 0, 0, 0, 0, 0, 0, 2, 11, 73
"d:\UnityProjects\Agent Arena\Assets\JMO Assets\WarFX\Shaders\WFX_S AlphaBlend Scroll.shader", "ShaderLab", 0, 0, 80, 0, 0, 0, 0, 0, 0, 0, 0, 4, 14, 98
"d:\UnityProjects\Agent Arena\Assets\JMO Assets\WarFX\Shaders\WFX_S Multiply Soft Scroll.shader", "ShaderLab", 0, 0, 56, 0, 0, 0, 0, 0, 0, 0, 0, 5, 12, 73
"d:\UnityProjects\Agent Arena\Assets\JMO Assets\WarFX\Shaders\WFX_S Multiply Soft.shader", "ShaderLab", 0, 0, 53, 0, 0, 0, 0, 0, 0, 0, 0, 7, 11, 71
"d:\UnityProjects\Agent Arena\Assets\JMO Assets\WarFX\Shaders\WFX_S Particle Add A8.shader", "ShaderLab", 0, 0, 86, 0, 0, 0, 0, 0, 0, 0, 0, 5, 16, 107
"d:\UnityProjects\Agent Arena\Assets\JMO Assets\WarFX\Shaders\WFX_S Particle AddSoft A8.shader", "ShaderLab", 0, 0, 86, 0, 0, 0, 0, 0, 0, 0, 0, 5, 16, 107
"d:\UnityProjects\Agent Arena\Assets\JMO Assets\WarFX\Shaders\WFX_S Particle Multiply A8.shader", "ShaderLab", 0, 0, 87, 0, 0, 0, 0, 0, 0, 0, 0, 5, 16, 108
"d:\UnityProjects\Agent Arena\Assets\JMO Assets\WarFX\Shaders\WFX_S Smoke Scroll.shader", "ShaderLab", 0, 0, 58, 0, 0, 0, 0, 0, 0, 0, 0, 5, 12, 75
"d:\UnityProjects\Agent Arena\Assets\JMO Assets\WarFX\Spawn System\CFX_SpawnSystem.cs", "C#", 148, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 46, 35, 229
"d:\UnityProjects\Agent Arena\Assets\Mirror\Authenticators\BasicAuthenticator.cs", "C#", 100, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 51, 31, 182
"d:\UnityProjects\Agent Arena\Assets\Mirror\Authenticators\TimeoutAuthenticator.cs", "C#", 56, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 15, 75
"d:\UnityProjects\Agent Arena\Assets\Mirror\Cloud\ApiConnector.cs", "C#", 43, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 13, 62
"d:\UnityProjects\Agent Arena\Assets\Mirror\Cloud\Core\BaseApi.cs", "C#", 18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 4, 26
"d:\UnityProjects\Agent Arena\Assets\Mirror\Cloud\Core\Events.cs", "C#", 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 13
"d:\UnityProjects\Agent Arena\Assets\Mirror\Cloud\Core\Extensions.cs", "C#", 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 13
"d:\UnityProjects\Agent Arena\Assets\Mirror\Cloud\Core\ICoroutineRunner.cs", "C#", 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 13
"d:\UnityProjects\Agent Arena\Assets\Mirror\Cloud\Core\IRequestCreator.cs", "C#", 17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 20, 6, 43
"d:\UnityProjects\Agent Arena\Assets\Mirror\Cloud\Core\IUnityEqualCheck.cs", "C#", 18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 5, 27
"d:\UnityProjects\Agent Arena\Assets\Mirror\Cloud\Core\JsonStructs.cs", "C#", 20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 25
"d:\UnityProjects\Agent Arena\Assets\Mirror\Cloud\Core\Logger.cs", "C#", 62, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 10, 73
"d:\UnityProjects\Agent Arena\Assets\Mirror\Cloud\Core\RequestCreator.cs", "C#", 93, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 27, 25, 145
"d:\UnityProjects\Agent Arena\Assets\Mirror\Cloud\ListServer\ListServer.cs", "C#", 30, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 31, 6, 67
"d:\UnityProjects\Agent Arena\Assets\Mirror\Cloud\ListServer\ListServerBaseApi.cs", "C#", 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 10
"d:\UnityProjects\Agent Arena\Assets\Mirror\Cloud\ListServer\ListServerClientApi.cs", "C#", 58, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 12, 71
"d:\UnityProjects\Agent Arena\Assets\Mirror\Cloud\ListServer\ListServerJson.cs", "C#", 135, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 41, 32, 208
"d:\UnityProjects\Agent Arena\Assets\Mirror\Cloud\ListServer\ListServerServerApi.cs", "C#", 163, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 20, 37, 220
"d:\UnityProjects\Agent Arena\Assets\Mirror\Cloud\README.md", "Markdown", 0, 0, 0, 0, 0, 104, 0, 0, 0, 0, 0, 0, 49, 153
"d:\UnityProjects\Agent Arena\Assets\Mirror\CompilerSymbols\PreprocessorDefine.cs", "C#", 46, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 3, 54
"d:\UnityProjects\Agent Arena\Assets\Mirror\Components\Discovery\NetworkDiscovery.cs", "C#", 57, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 40, 18, 115
"d:\UnityProjects\Agent Arena\Assets\Mirror\Components\Discovery\NetworkDiscoveryBase.cs", "C#", 223, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 81, 57, 361
"d:\UnityProjects\Agent Arena\Assets\Mirror\Components\Discovery\NetworkDiscoveryHUD.cs", "C#", 71, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 20, 96
"d:\UnityProjects\Agent Arena\Assets\Mirror\Components\Discovery\ServerRequest.cs", "C#", 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 5
"d:\UnityProjects\Agent Arena\Assets\Mirror\Components\Discovery\ServerResponse.cs", "C#", 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 3, 18
"d:\UnityProjects\Agent Arena\Assets\Mirror\Components\Experimental\NetworkLerpRigidbody.cs", "C#", 71, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 17, 94
"d:\UnityProjects\Agent Arena\Assets\Mirror\Components\Experimental\NetworkRigidbody.cs", "C#", 256, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 37, 71, 364
"d:\UnityProjects\Agent Arena\Assets\Mirror\Components\Experimental\NetworkRigidbody2D.cs", "C#", 255, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 37, 71, 363
"d:\UnityProjects\Agent Arena\Assets\Mirror\Components\Experimental\NetworkTransform.cs", "C#", 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 13
"d:\UnityProjects\Agent Arena\Assets\Mirror\Components\Experimental\NetworkTransformBase.cs", "C#", 308, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 141, 81, 530
"d:\UnityProjects\Agent Arena\Assets\Mirror\Components\Experimental\NetworkTransformChild.cs", "C#", 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 3, 19
"d:\UnityProjects\Agent Arena\Assets\Mirror\Components\NetworkAnimator.cs", "C#", 478, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 78, 81, 637
"d:\UnityProjects\Agent Arena\Assets\Mirror\Components\NetworkLobbyManager.cs", "C#", 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 2, 19
"d:\UnityProjects\Agent Arena\Assets\Mirror\Components\NetworkLobbyPlayer.cs", "C#", 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 2, 16
"d:\UnityProjects\Agent Arena\Assets\Mirror\Components\NetworkMatchChecker.cs", "C#", 82, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 32, 27, 141
"d:\UnityProjects\Agent Arena\Assets\Mirror\Components\NetworkPingDisplay.cs", "C#", 38, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 9, 51
"d:\UnityProjects\Agent Arena\Assets\Mirror\Components\NetworkProximityChecker.cs", "C#", 51, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 36, 12, 99
"d:\UnityProjects\Agent Arena\Assets\Mirror\Components\NetworkRoomManager.cs", "C#", 390, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 198, 110, 698
"d:\UnityProjects\Agent Arena\Assets\Mirror\Components\NetworkRoomPlayer.cs", "C#", 114, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 46, 39, 199
"d:\UnityProjects\Agent Arena\Assets\Mirror\Components\NetworkSceneChecker.cs", "C#", 68, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 32, 22, 122
"d:\UnityProjects\Agent Arena\Assets\Mirror\Components\NetworkTransform.cs", "C#", 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 13
"d:\UnityProjects\Agent Arena\Assets\Mirror\Components\NetworkTransformBase.cs", "C#", 276, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 175, 56, 507
"d:\UnityProjects\Agent Arena\Assets\Mirror\Components\NetworkTransformChild.cs", "C#", 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 3, 19
"d:\UnityProjects\Agent Arena\Assets\Mirror\Editor\EnterPlayModeSettingsCheck.cs", "C#", 49, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 18, 8, 75
"d:\UnityProjects\Agent Arena\Assets\Mirror\Editor\InspectorHelper.cs", "C#", 60, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 8, 77
"d:\UnityProjects\Agent Arena\Assets\Mirror\Editor\LogLevelWindow.cs", "C#", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1
"d:\UnityProjects\Agent Arena\Assets\Mirror\Editor\Logging\LogLevelWindow.cs", "C#", 62, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 71
"d:\UnityProjects\Agent Arena\Assets\Mirror\Editor\Logging\LogLevelsGUI.cs", "C#", 53, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 62
"d:\UnityProjects\Agent Arena\Assets\Mirror\Editor\Logging\LogSettingsEditor.cs", "C#", 21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 25
"d:\UnityProjects\Agent Arena\Assets\Mirror\Editor\Logging\NetworkLogSettingsEditor.cs", "C#", 28, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 32
"d:\UnityProjects\Agent Arena\Assets\Mirror\Editor\NetworkBehaviourInspector.cs", "C#", 135, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 25, 27, 187
"d:\UnityProjects\Agent Arena\Assets\Mirror\Editor\NetworkInformationPreview.cs", "C#", 246, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 49, 306
"d:\UnityProjects\Agent Arena\Assets\Mirror\Editor\NetworkManagerEditor.cs", "C#", 93, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 20, 114
"d:\UnityProjects\Agent Arena\Assets\Mirror\Editor\NetworkScenePostProcess.cs", "C#", 65, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 36, 8, 109
"d:\UnityProjects\Agent Arena\Assets\Mirror\Editor\SceneDrawer.cs", "C#", 42, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 5, 48
"d:\UnityProjects\Agent Arena\Assets\Mirror\Editor\ScriptableObjectUtility.cs", "C#", 37, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 12, 55
"d:\UnityProjects\Agent Arena\Assets\Mirror\Editor\SyncVarAttributeDrawer.cs", "C#", 23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 29
"d:\UnityProjects\Agent Arena\Assets\Mirror\Editor\Weaver\AssemblyInfo.cs", "C#", 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 4
"d:\UnityProjects\Agent Arena\Assets\Mirror\Editor\Weaver\CompilationFinishedHook.cs", "C#", 132, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 21, 23, 176
"d:\UnityProjects\Agent Arena\Assets\Mirror\Editor\Weaver\Extensions.cs", "C#", 205, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 44, 42, 291
"d:\UnityProjects\Agent Arena\Assets\Mirror\Editor\Weaver\Helpers.cs", "C#", 20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 5, 26
"d:\UnityProjects\Agent Arena\Assets\Mirror\Editor\Weaver\Log.cs", "C#", 17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 21
"d:\UnityProjects\Agent Arena\Assets\Mirror\Editor\Weaver\Processors\CommandProcessor.cs", "C#", 60, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 47, 21, 128
"d:\UnityProjects\Agent Arena\Assets\Mirror\Editor\Weaver\Processors\GenericArgumentResolver.cs", "C#", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1
"d:\UnityProjects\Agent Arena\Assets\Mirror\Editor\Weaver\Processors\MessageClassProcessor.cs", "C#", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1
"d:\UnityProjects\Agent Arena\Assets\Mirror\Editor\Weaver\Processors\MethodProcessor.cs", "C#", 71, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 36, 19, 126
"d:\UnityProjects\Agent Arena\Assets\Mirror\Editor\Weaver\Processors\MonoBehaviourProcessor.cs", "C#", 36, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 5, 46
"d:\UnityProjects\Agent Arena\Assets\Mirror\Editor\Weaver\Processors\NetworkBehaviourProcessor.cs", "C#", 741, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 291, 170, 1202
"d:\UnityProjects\Agent Arena\Assets\Mirror\Editor\Weaver\Processors\PropertySiteProcessor.cs", "C#", 110, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 27, 24, 161
"d:\UnityProjects\Agent Arena\Assets\Mirror\Editor\Weaver\Processors\ReaderWriterProcessor.cs", "C#", 131, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 16, 29, 176
"d:\UnityProjects\Agent Arena\Assets\Mirror\Editor\Weaver\Processors\RpcProcessor.cs", "C#", 55, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 32, 19, 106
"d:\UnityProjects\Agent Arena\Assets\Mirror\Editor\Weaver\Processors\ServerClientAttributeProcessor.cs", "C#", 132, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 19, 154
"d:\UnityProjects\Agent Arena\Assets\Mirror\Editor\Weaver\Processors\SyncDictionaryProcessor.cs", "C#", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1
"d:\UnityProjects\Agent Arena\Assets\Mirror\Editor\Weaver\Processors\SyncEventProcessor.cs", "C#", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 2
"d:\UnityProjects\Agent Arena\Assets\Mirror\Editor\Weaver\Processors\SyncListProcessor.cs", "C#", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1
"d:\UnityProjects\Agent Arena\Assets\Mirror\Editor\Weaver\Processors\SyncObjectInitializer.cs", "C#", 34, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 7, 48
"d:\UnityProjects\Agent Arena\Assets\Mirror\Editor\Weaver\Processors\SyncObjectProcessor.cs", "C#", 44, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 9, 64
"d:\UnityProjects\Agent Arena\Assets\Mirror\Editor\Weaver\Processors\SyncVarProcessor.cs", "C#", 326, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 67, 80, 473
"d:\UnityProjects\Agent Arena\Assets\Mirror\Editor\Weaver\Processors\TargetRpcProcessor.cs", "C#", 64, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 51, 20, 135
"d:\UnityProjects\Agent Arena\Assets\Mirror\Editor\Weaver\Program.cs", "C#", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 2
"d:\UnityProjects\Agent Arena\Assets\Mirror\Editor\Weaver\Readers.cs", "C#", 270, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 36, 60, 366
"d:\UnityProjects\Agent Arena\Assets\Mirror\Editor\Weaver\Resolvers.cs", "C#", 72, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 8, 87
"d:\UnityProjects\Agent Arena\Assets\Mirror\Editor\Weaver\TypeReferenceComparer.cs", "C#", 16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 3, 22
"d:\UnityProjects\Agent Arena\Assets\Mirror\Editor\Weaver\Weaver.cs", "C#", 176, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 14, 43, 233
"d:\UnityProjects\Agent Arena\Assets\Mirror\Editor\Weaver\WeaverExceptions.cs", "C#", 21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 26
"d:\UnityProjects\Agent Arena\Assets\Mirror\Editor\Weaver\WeaverTypes.cs", "C#", 125, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 32, 162
"d:\UnityProjects\Agent Arena\Assets\Mirror\Editor\Weaver\Writers.cs", "C#", 239, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 44, 57, 340
"d:\UnityProjects\Agent Arena\Assets\Mirror\Examples\AdditiveScenes\README.md", "Markdown", 0, 0, 0, 0, 0, 17, 0, 0, 0, 0, 0, 0, 8, 25
"d:\UnityProjects\Agent Arena\Assets\Mirror\Examples\AdditiveScenes\Scripts\AdditiveNetworkManager.cs", "C#", 50, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 14, 66
"d:\UnityProjects\Agent Arena\Assets\Mirror\Examples\AdditiveScenes\Scripts\PlayerController.cs", "C#", 92, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 18, 111
"d:\UnityProjects\Agent Arena\Assets\Mirror\Examples\AdditiveScenes\Scripts\RandomColor.cs", "C#", 24, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 6, 33
"d:\UnityProjects\Agent Arena\Assets\Mirror\Examples\AdditiveScenes\Scripts\ShootingTankBehaviour.cs", "C#", 46, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 11, 60
